Network,Number Score,Subscribers,,,,
Hulu,0.92,45300000,,,,
Apple TV+,0.65,20000000,,,,
Apple TV+,0.76,20000000,,,,
Hulu,0.91,45300000,,,,
Netflix,0.87,221800000,,,,
Netflix,0.82,221800000,,,,
HBO Max,0.78,73800000,,,,
Netflix,0.79,221800000,,,,
Hulu,0.82,45300000,,,,
HBO Max,0.64,73800000,,,,
Netflix,0.73,221800000,,,,
Amazon Prime Video,0.96,175000000,,,,
HBO Max,0.86,73800000,,,,
Netflix,0.62,221800000,,,,
Netflix,0.7,221800000,,,,
HBO Max,0.94,73800000,,,,
Disney+,0.8,129800000,,,,
Disney+,0.87,129800000,,,,
Disney+,0.75,129800000,,,,
Disney+,0.69,129800000,,,,
Disney+,0.77,129800000,,,,
Disney+,0.91,129800000,,,,
Disney+,0.89,129800000,,,,
Disney+,0.84,129800000,,,,
Disney+,0.68,129800000,,,,
Disney+,0.7,129800000,,,,
Disney+,0.68,129800000,,,,
Disney+,0.81,129800000,,,,
Disney+,0.83,129800000,,,,
Disney+,0.77,129800000,,,,
Hulu,0.72,45300000,,,,
Netflix,0.77,221800000,,,,
Disney+,100,129800000,,,,
Netflix,0.95,221800000,,,,
HBO Max,0.74,73800000,,,,
Disney+,0.83,129800000,,,,
Hulu,0.89,45300000,,,,
Netflix,0.78,221800000,,,,
Netflix,0.49,221800000,,,,
Disney+,0.81,129800000,,,,
Disney+,0.91,129800000,,,,
Hulu,0.95,45300000,,,,
Hulu,0.98,45300000,,,,
Hulu,0.92,45300000,,,,
Apple TV+,0.67,20000000,,,,
Amazon Prime Video,0.93,175000000,,,,
Disney+,0.82,129800000,,,,
HBO Max,0.9,73800000,,,,
Apple TV+,0.86,20000000,,,,
HBO Max,0.6,73800000,,,,
Netflix,0.95,221800000,,,,
Hulu,0.78,45300000,,,,
Netflix,0.87,221800000,,,,
Amazon Prime Video,0.81,175000000,,,,
Hulu,0.59,45300000,,,,
Hulu,0.93,45300000,,,,
Apple TV+,0.57,20000000,,,,
Disney+,0.63,129800000,,,,
Disney+,0.78,129800000,,,,
Disney+,0.66,129800000,,,,
Hulu,0.88,45300000,,,,
Hulu,0.94,45300000,,,,
HBO Max,0.94,73800000,,,,
Netflix,0.79,221800000,,,,
Amazon Prime Video,0.65,175000000,,,,
Netflix,0.86,221800000,,,,
Netflix,0.87,221800000,,,,
Amazon Prime Video,0.8,175000000,,,,
Apple TV+,0.94,20000000,,,,
Disney+,0.8,129800000,,,,
HBO Max,0.89,73800000,,,,
Netflix,0.93,221800000,,,,
HBO Max,0.76,73800000,,,,
Disney+,0.92,129800000,,,,
Apple TV+,0.79,20000000,,,,
Netflix,0.34,221800000,,,,
Hulu,0.81,45300000,,,,
Hulu,0.75,45300000,,,,
Apple TV+,0.94,20000000,,,,
HBO Max,0.81,73800000,,,,
Hulu,0.78,45300000,,,,
HBO Max,0.8,73800000,,,,
Hulu,0.86,45300000,,,,
Amazon Prime Video,0.9,175000000,,,,
